# darshan log version: 3.41
# compression method: ZLIB
# exe: /mnt/IOLustre/io500/io500 Trace_Dataset/ior-easy/ior-easy_api_MPIIO_blockSize_1073741824_transferSize_1M_filePerProc_False_uniqueDir_True_.ini --timestamp 2024.01.10-22.44.02
# uid: 0
# jobid: 1134454
# start_time: 1704944643
# start_time_asci: Wed Jan 10 22:44:03 2024
# end_time: 1704944657
# end_time_asci: Wed Jan 10 22:44:17 2024
# nprocs: 1
# run time: 14.1591
# metadata: lib_ver = 3.4.2
# metadata: h = romio_no_indep_rw=true;cb_nodes=4

# log file regions
# -------------------------------------------------------
# header: 1328 bytes (uncompressed)
# job data: 359 bytes (compressed)
# record table: 201 bytes (compressed)
# POSIX module: 193 bytes (compressed), ver=4
# MPI-IO module: 0 bytes (compressed), ver=3
# LUSTRE module: 0 bytes (compressed), ver=1
# STDIO module: 0 bytes (compressed), ver=2
# DXT_POSIX module: 18841 bytes (compressed), ver=1
# HEATMAP module: 0 bytes (compressed), ver=1

# mounted file systems (mount point and fs type)
# -------------------------------------------------------
# mount entry:	/sys/firmware/efi/efivars	efivarfs
# mount entry:	/proc/sys/fs/binfmt_misc	autofs
# mount entry:	/sys/kernel/config	configfs
# mount entry:	/sys/fs/pstore	pstore
# mount entry:	/mnt/IOLustre	lustre
# mount entry:	/dev/mqueue	mqueue
# mount entry:	/boot/efi	vfat
# mount entry:	/client	ext4
# mount entry:	/home	ext4
# mount entry:	/boot	ext4
# mount entry:	/dev	devtmpfs
# mount entry:	/var	ext4
# mount entry:	/	ext4

# ***************************************************
# DXT_POSIX module data
# ***************************************************

# DXT, file_id: 1622462779593719803, file_name: /mnt/IOLustre/io500/datafiles/2024.01.10-22.44.02/ior-easy/ior_file_easy
# DXT, rank: 0, hostname: lab3
# DXT, write_count: 1024, read_count: 1024, open_count: 0, stat_count: 0
# DXT, mnt_pt: /mnt/IOLustre, fs_type: lustre
# Module    Rank  Wt/Rd  Segment          Offset       Length    Start(s)      End(s)
 X_POSIX       0  write      208       218103808         1048576      1.9888      2.0028
 X_POSIX       0  write      209       219152384         1048576      2.0028      2.0148
 X_POSIX       0  write      210       220200960         1048576      2.0148      2.0278
 X_POSIX       0  write      211       221249536         1048576      2.0278      2.0408
 X_POSIX       0  write      212       222298112         1048576      2.0408      2.0548
 X_POSIX       0  write      213       223346688         1048576      2.0548      2.0687
 X_POSIX       0  write      214       224395264         1048576      2.0687      2.0828
 X_POSIX       0  write      215       225443840         1048576      2.0828      2.0957
 X_POSIX       0  write      216       226492416         1048576      2.0957      2.1099
 X_POSIX       0  write      217       227540992         1048576      2.1099      2.1218
 X_POSIX       0  write      218       228589568         1048576      2.1218      2.1348
 X_POSIX       0  write      219       229638144         1048576      2.1348      2.1483
 X_POSIX       0  write      220       230686720         1048576      2.1484      2.1588
 X_POSIX       0  write      221       231735296         1048576      2.1588      2.1708
 X_POSIX       0  write      222       232783872         1048576      2.1708      2.1838
 X_POSIX       0  write      223       233832448         1048576      2.1838      2.1968
 X_POSIX       0  write      224       234881024         1048576      2.1968      2.2098
 X_POSIX       0  write      225       235929600         1048576      2.2098      2.2217
 X_POSIX       0  write      226       236978176         1048576      2.2218      2.2349
 X_POSIX       0  write      227       238026752         1048576      2.2350      2.2480
 X_POSIX       0  write      228       239075328         1048576      2.2481      2.2588
 X_POSIX       0  write      229       240123904         1048576      2.2588      2.2708
 X_POSIX       0  write      230       241172480         1048576      2.2708      2.2838
 X_POSIX       0  write      231       242221056         1048576      2.2838      2.2968
 X_POSIX       0  write      232       243269632         1048576      2.2968      2.3078
 X_POSIX       0  write      233       244318208         1048576      2.3078      2.3205
 X_POSIX       0  write      234       245366784         1048576      2.3205      2.3328
 X_POSIX       0  write      235       246415360         1048576      2.3328      2.3479
 X_POSIX       0  write      236       247463936         1048576      2.3479      2.3568
 X_POSIX       0  write      237       248512512         1048576      2.3568      2.3688
 X_POSIX       0  write      238       249561088         1048576      2.3688      2.3818
 X_POSIX       0  write      239       250609664         1048576      2.3818      2.3948
 X_POSIX       0  write      240       251658240         1048576      2.3948      2.4088
